,OFFER,RETAILER,BRAND,CATEGORY,SCORE
445,shop 2 times at safeway,safeway,safeway,candy,0.6894
446,spend 210 at safeway,safeway,safeway,candy,0.6894
447,any safeway receipt,safeway,safeway,candy,0.6894
448,spend 115 at safeway,safeway,safeway,candy,0.6894
449,spend 90 at safeway,safeway,safeway,candy,0.6894
713,cheerios oat crunch berry cereal,,cheerios,"cereal, granola, & toaster pastries",0.6794
160,dove chocolate select sizes buy 1,,dove chocolate,candy,0.6274
161,dove chocolate select varieties,,dove chocolate,candy,0.6274
695,glad trash bags 4 or 8 gallon,,glad,household supplies,0.625
699,glad forceflex max strength trash bags,,glad,household supplies,0.625
722,snuggle liquid fabric softener at walmart,walmart,snuggle,household supplies,0.6216
693,tyson products select varieties spend 15 at walmart,walmart,aidells,packaged meat,0.6213
293,perfect keto barista blend collagen  mcts online at amazon,amazon,perfect keto,medicines & treatments,0.6168
295,perfect keto beauty  sleep collagen online at amazon,amazon,perfect keto,medicines & treatments,0.6168
297,perfect keto bars online at amazon,amazon,perfect keto,medicines & treatments,0.6168
299,perfect keto collagen peptides online at amazon,amazon,perfect keto,medicines & treatments,0.6168
301,perfect keto mct oil powder online at amazon,amazon,perfect keto,medicines & treatments,0.6168
303,perfect keto super reds online at amazon,amazon,perfect keto,medicines & treatments,0.6168
305,perfect keto exogenous ketones powder online at amazon,amazon,perfect keto,medicines & treatments,0.6168
534,bubbies pickles sauerkraut and condiments at whole foods or sprouts,sprouts farmers market,bubbies,prepared meals,0.5987
