,OFFER,RETAILER,BRAND,CATEGORY,SCORE
655,kradle select varieties spend 20 at walmart,walmart,kradle,cooking & baking,0.8837
657,kradle select products online at chewycom,chewy,kradle,cooking & baking,0.8837
659,kradle select varieties online at amazon,amazon,kradle,cooking & baking,0.8837
661,kradle select varieties at pet supplies plus,pet supplies plus,kradle,cooking & baking,0.8837
528,durex massage  play 2 in 1 pleasure gel select varieties at walmart or target,target,durex,medicines & treatments,0.8454
745,breyers reeses ice cream select varieties at giant or martins,martins foods,breyers,frozen desserts,0.8222
204,gortons at select retailers,shop rite,gortons,jerky & dried meat,0.8152
207,gortons air fried butterfly shrimp at walmart,walmart,gortons,jerky & dried meat,0.8152
272,twix select sizes,,twix,candy,0.8086
274,twix select varieties,,twix,candy,0.8086
420,coors light miller lite or vizzy 12 pack,,vizzy,malt beverages,0.7876
422,coors light miller lite or vizzy 12 packs buy 4,,vizzy,malt beverages,0.7876
424,coors light miller lite or vizzy 12 packs buy 2,,vizzy,malt beverages,0.7876
426,coors light miller lite or vizzy 12 packs buy 3,,vizzy,malt beverages,0.7876
428,coors light miller lite or vizzy 12 packs buy 5,,vizzy,malt beverages,0.7876
694,hagendazs 28 ounce at grocery stores,,haagen dazs,frozen desserts,0.7868
533,wesson oil products,,wesson,cooking & baking,0.783
263,flonase allergy relief at walmart,walmart,flonase,medicines & treatments,0.7792
210,shop 2 times at acme,acme,acme,medicines & treatments,0.7777
211,spend 90 at acme,acme,acme,medicines & treatments,0.7777
