,OFFER,RETAILER,BRAND,CATEGORY,SCORE
0,beyond meat plantbased products spend 25,,beyond meat,packaged meat,0.8992
3,beyond steak plantbased seared tips 10 ounce at target,target,beyond meat,packaged meat,0.8992
6,beyond steak plantbased seared tips 10 ounce buy 2 at heb,h-e-b,beyond meat,packaged meat,0.8992
9,beyond steak plantbased seared tips 10 ounce at heb,h-e-b,beyond meat,packaged meat,0.8992
12,beyond steak plantbased seared tips 10 ounce buy 2 at target,target,beyond meat,packaged meat,0.8992
15,beyond meat plantbased products spend 15,,beyond meat,packaged meat,0.8992
18,beyond meat plantbased products spend 20,,beyond meat,packaged meat,0.8992
309,tyson products select varieties spend 20 at sams club,sams club,ball park frank,packaged meat,0.8992
693,tyson products select varieties spend 15 at walmart,walmart,aidells,packaged meat,0.8992
204,gortons at select retailers,shop rite,gortons,jerky & dried meat,0.7816
207,gortons air fried butterfly shrimp at walmart,walmart,gortons,jerky & dried meat,0.7816
747,jack links select varieties,,jack links,jerky & dried meat,0.7816
155,egglife egg white wraps at aldi,aldi,egglife,eggs,0.6093
291,cooked perfect meatballs at walmart,walmart,cooked perfect,frozen chicken,0.5704
292,cooked perfect meatballs homestyle or turkey at walmart,walmart,cooked perfect,frozen chicken,0.5704
373,back to the roots grow seed starting pots or germination trays at walmart or target,target,back to the roots,packaged meals & sides,0.5702
374,back to the roots soils select varieties and sizes at walmart,walmart,back to the roots,packaged meals & sides,0.5702
375,back to the roots dry plant food 5 pounds at the home depot,the home depot,back to the roots,packaged meals & sides,0.5702
376,back to the roots garden soil 1 cubic foot at lowes home improvement,lowes home improvement,back to the roots,packaged meals & sides,0.5702
377,back to the roots raised bed gardening kit with soil seeds and plant food at target,target,back to the roots,packaged meals & sides,0.5702
