,OFFER,RETAILER,BRAND,CATEGORY,PARENT_CATEGORY,RECEIPTS,SCORE
264,artesano buns buy 2 at walmart,walmart,sara lee artesano,bakery,deli & bakery,7912.0,1.0
605,glad trash bags 4 or 8 gallon,,glad,household supplies,household supplies,6822.0,1.0
657,glad forceflex max strength trash bags,,glad,household supplies,household supplies,6822.0,1.0
501,ballpark buns buy 2,,ball park pop ups,bakery,deli & bakery,5920.0,1.0
473,core hydration select varieties at walmart,walmart,core hydration,water,beverages,4595.0,1.0
684,core hydration select varieties buy 2 at walmart,walmart,core hydration,water,beverages,4595.0,1.0
396,sign up for mcalisters deli rewards tap for details,mcalisters deli,mcalisters deli,bakery,deli & bakery,2808.0,1.0
675,snuggle liquid fabric softener at walmart,walmart,snuggle,household supplies,household supplies,2214.0,1.0
132,sara lee bread select varieties buy 2 at walmart,walmart,sara lee,bakery,deli & bakery,916.0,1.0
333,sara lee bread select varieties buy 2,walmart,sara lee,bakery,deli & bakery,916.0,1.0
765,sara lee delightful bread buy 2,,sara lee,bakery,deli & bakery,916.0,1.0
137,sara lee or alfaros artesano bread buy 5,,alfaros,bakery,deli & bakery,783.0,1.0
275,sara lee or alfaros artesano bread spend 8,,alfaros,bakery,deli & bakery,783.0,1.0
590,sara lee or alfaros artesano bread buy 2,,alfaros,bakery,deli & bakery,783.0,1.0
718,sara lee or alfaros artesano bread spend 20,,alfaros,bakery,deli & bakery,783.0,1.0
654,brownie brittle snacks select varieties buy 2,,brownie brittle,bakery,deli & bakery,563.0,1.0
451,bimbo sweet baked goods buy 2,,bimbo,bakery,deli & bakery,57.0,1.0
217,little bites spend 10 at walmart,walmart,entenmanns,bakery,deli & bakery,47.0,1.0
258,thomas bagel thins buy 2,,thomas,bakery,deli & bakery,24.0,1.0
520,thomas select varieties spend 10,,thomas,bakery,deli & bakery,24.0,1.0
792,thomas bagel thins,,thomas,bakery,deli & bakery,24.0,1.0
14,arnold brownberry oroweat small slice bread at walmart,walmart,arnold brownberry oroweat,bakery,deli & bakery,20.0,1.0
326,brita pitcher and filter,,brita,household supplies,household supplies,20.0,1.0
430,arnold brownberry oroweat keto bread buy 2,,arnold brownberry oroweat,bakery,deli & bakery,20.0,1.0
529,brita standard or elite filters,,brita,household supplies,household supplies,20.0,1.0
672,arnold grains almighty,,arnold brownberry oroweat,bakery,deli & bakery,20.0,1.0
735,brita pitcher or dispenser,,brita,household supplies,household supplies,20.0,1.0
225,purex laundry detergent select varieties at walmart,walmart,purex,laundry supplies,household supplies,18.0,0.8176000118255615
331,bays english muffins,,bays,bread,pantry,1066.0,0.78329998254776
723,the rustik oven bread,,rustik oven,bread,pantry,292.0,0.78329998254776
