,OFFER,RETAILER,BRAND,CATEGORY,RECEIPTS,SCORE
103,tyson products select varieties spend 20 at sams club,sams club,ball park frank,packaged meat,3186.0,0.8992
584,tyson products select varieties spend 15 at walmart,walmart,aidells,packaged meat,854.0,0.8992
1,beyond meat plantbased products spend 25,,beyond meat,packaged meat,30.0,0.8992
47,beyond steak plantbased seared tips 10 ounce at target,target,beyond meat,packaged meat,30.0,0.8992
66,beyond steak plantbased seared tips 10 ounce buy 2 at heb,h-e-b,beyond meat,packaged meat,30.0,0.8992
486,beyond steak plantbased seared tips 10 ounce at heb,h-e-b,beyond meat,packaged meat,30.0,0.8992
523,beyond steak plantbased seared tips 10 ounce buy 2 at target,target,beyond meat,packaged meat,30.0,0.8992
552,beyond meat plantbased products spend 15,,beyond meat,packaged meat,30.0,0.8992
592,beyond meat plantbased products spend 20,,beyond meat,packaged meat,30.0,0.8992
777,jack links select varieties,,jack links,jerky & dried meat,1614.0,0.7816
60,gortons at select retailers,shop rite,gortons,jerky & dried meat,14.0,0.7816
81,gortons air fried butterfly shrimp at walmart,walmart,gortons,jerky & dried meat,14.0,0.7816
36,egglife egg white wraps at aldi,aldi,egglife,eggs,27.0,0.6093
95,cooked perfect meatballs at walmart,walmart,cooked perfect,frozen chicken,253.0,0.5704
194,cooked perfect meatballs homestyle or turkey at walmart,walmart,cooked perfect,frozen chicken,253.0,0.5704
153,back to the roots grow seed starting pots or germination trays at walmart or target,target,back to the roots,packaged meals & sides,146.0,0.5702
186,back to the roots soils select varieties and sizes at walmart,walmart,back to the roots,packaged meals & sides,146.0,0.5702
277,back to the roots dry plant food 5 pounds at the home depot,the home depot,back to the roots,packaged meals & sides,146.0,0.5702
289,back to the roots garden soil 1 cubic foot at lowes home improvement,lowes home improvement,back to the roots,packaged meals & sides,146.0,0.5702
464,back to the roots raised bed gardening kit with soil seeds and plant food at target,target,back to the roots,packaged meals & sides,146.0,0.5702
